id,name,lat_lon,free_bikes,poi_name,dist2station,rating,reviews
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Jaclyn's,172.37513361109032,4.5,15
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Casa Di Giorgios,408.71572448842034,4.0,74
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Lake Inez,794.6619550133811,4.5,94
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Mattachioni,815.1485644834155,4.5,5
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Chino Locos Original,467.1225455571697,4.0,190
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Beach Club,839.3120734378176,3.0,17
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Maru Japanese Bistro,364.44850504314206,4.0,15
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,The Sidekick,436.0032948767222,4.5,31
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Le Conciliabule,903.6090778135728,4.5,12
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,British Style Fish & Chips,426.6274768606064,4.0,52
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Nodo Leslieville,983.1152024508168,4.0,35
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Chick-N-Joy,125.48313239918345,4.0,55
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Hastings Snack Bar,755.3857132342414,4.5,41
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Yaya Greek Bistro,994.9676130216748,4.0,83
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Gio Rana's Really Really Nice Restaurant,881.124117228234,4.0,228
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,O Sushi,277.56958241445363,4.0,58
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Burrito Bandidos,286.2490649948758,3.5,57
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Black Pony,805.5180733412958,4.5,8
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Toto Sushi,786.0540022910883,4.5,30
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Puerto Bravo,777.9806691992109,4.5,4
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Karma's Kitchen,772.1052134898712,4.0,62
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,The Burger's Priest,374.2380726403347,3.5,503
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,McDonald's,64.24127334717444,2.5,22
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Lazy Daisy's Cafe,828.6620562118607,4.0,152
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Good Behaviour,849.2026845221632,4.5,8
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Tea N Bannock,895.556531489122,4.5,44
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Desi Burger,828.4504181006843,4.0,12
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Maha's,1005.190034713692,4.0,580
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,BIRDIES Fried Chicken,888.19961235597,4.5,10
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Lahore Tikka House,787.4737977905058,3.5,542
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Kabul Kabab House,848.6746826844852,4.0,6
7303,Queen St E / Woodward Ave,"43.665269,-79.319796",5,Leslie Jones,1003.9901183084849,4.0,75
